,Unnamed: 0,id,link,type,title,text,area_text,area_name,num_areas,city,clean_text,predicted_category
10,11,146,https://districtr.org/COI/20551,coi,Near Southwest/Central St. Louis County,"housing type, suburban but impacted by central city, some economic similarity, cultural similarity. Just my opinion based on lived experience. Trying to keep school districts and municipalities intact points up the absurdity of some boundaries.","Suburbs related by housing density, school districts to the extent possible, and some degree of economic and cultural similarity.",Near Southwest/Central St. Louis County,1.0,St. Louis,"housing type , suburban but impacted by central city , some economic similarity , cultural similarity . Just my opinion based on lived experience . Trying to keep school districts and municipalities intact points up the absurdity of some boundaries .",Suburbs
11,12,142,https://districtr.org/COI/21374,coi,"Webster Groves, MO",A community,"People that live in Webster Groves and parts of Shrewsbury, Rock Hill and Glendale.",Webster Groves,1.0,St. Louis,A community,Named neighborhood
12,13,155,https://districtr.org/COI/21375,coi,Webster Groves School District,Families lives in Webster Groves School District,,Community 1,1.0,Webster Groves,Families lives in Webster Groves School District,Family and Children
13,14,161,https://districtr.org/COI/21376,coi,Historic North Webster,This neighborhood represents the historically black community of Webster Groves and Rock Hill.,,Community 1,1.0,Webster Groves,This neighborhood represents the historically black community of Webster Groves and Rock Hill .,Named neighborhood
14,15,147,https://districtr.org/COI/21378,coi,Inner TGP,"A mix of older deeply religious people and younger, very progressive people. Varies house by house. Mostly liberal, mostly on the wealthier side for South City",Wealthier section bordering tower grove park,Inner TGP,1.0,St. Louis,"A mix of older deeply religious people and younger , very progressive people . Varies house by house . Mostly liberal , mostly on the wealthier side for",Religion
15,16,154,https://districtr.org/COI/21380,coi,"Student Population Kirksville, MO","These districts primarily consist of students from AT Still and Truman State University. This gives them common interests in regards to renter rights, student loan policy, and other issues concerning student needs.","These areas of Kirksville, MO are primarily rental properties that house 
AT Still University and Truman 
State University Students. ",Student Housing- ATSU and Truman State University,1.0,Kirksville,"These districts primarily consist of students from AT Still and Truman State University . This gives them common interests in regards to renter rights , student loan policy , and other issues concerning student needs .",University
16,17,151,https://districtr.org/COI/21381,coi,Jefferson Township,"Many share schools, community events, sports interests, literate generally",,Jefferson Township StLCO,1.0,Webster Groves,"Many share schools , community events , sports interests , literate generally",Community engagement
17,18,153,https://districtr.org/COI/21382,coi,Webster Groves/Rock Hill/Shrewsbury - WG,"same school district, same shopping, areas of worship, schools. This area has been split up, sometimes racially, in the past between CDs and state and senate district",,Community 1,1.0,Webster Groves,"same school district , same shopping , areas of worship , schools . This area has been split up , sometimes racially , in the past between CDs and state and senate district",Community engagement
18,19,162,https://districtr.org/COI/21385,coi,City of Webster Groves,Common municipality,Rough outline of municipality of Webster Groves.,City of Webster Groves,1.0,Webster Groves,Common municipality,Cities
19,20,138,https://districtr.org/COI/21972,coi,Kirkwood Webster Groves,The School Districts are very involved with each other.,Kirkwood & Webster Groves School Districts,Community 1,1.0,Kirkwood,The School Districts are very involved with each other .,Community engagement
20,21,134,https://districtr.org/COI/22008,coi,Fulton area,Largest employer in the area is the state prison/hospital. many folks in surrounding towns drive to fulton to work there.,Largest employer in the area is the Fulton prison & state hospital. Many people drive from outside of town to work there.,Fulton Area,1.0,Kansas City,Largest employer in the area is the state prison / hospital . many folks in surrounding towns drive to to work there .,Diversity
21,22,163,https://districtr.org/COI/22525,coi,Palmyra Community,"Palmyra is a strong and vibrant rural community largely centered around the local public schools. Many residents work in farming-related jobs, light manufacturing,  the service sector, health care, and education. ","Palmyra is a strong and vibrant rural community largely centered around the local public schools. Many residents work in farming-related jobs, light manufacturing,  the service sector, health care, and education. ",Palmyra Community,1.0,Lee's Summit,"Palmyra is a strong and vibrant rural community largely centered around the local public schools . Many residents work in farming - related jobs , light manufacturing ,   the service sector , health care , and education .",Named neighborhood
22,23,141,https://districtr.org/COI/22781,coi,North Columbia,"Working families in northern Columbia, many with kids who attend Derby Ridge and Blue Ridge schools ","Working families in northern Columbia, many with kids who attend Derby Ridge and Blue Ridge schools ",North Columbia ,1.0,Columbia,"Working families in northern , many with kids who attend and schools",Family and Children
23,24,140,https://districtr.org/COI/22831,coi,"Hyde Park, some Rockhill & Southmoreland","Hyde Park, plus Rockhill and Southmoreland neighborhoods north of  47th and east of Oak in order to include the census tract in which the southernmost part of Hyde Park is located, is a diverse community of older (100+ years) houses with some duplexes and apartments (many in tall buildings on Armour Blvd and some in smaller apt. buildings in north and south Hyde Park and Southmoreland).  Many of the apt. buildings on Armour Blvd were 100% Section 8 until Mac Properties started turning them into market rate apartments probably less than 10 years ago, and only two 100% Section 8 buildings remain.  Mac is building 3 new apt. buildings on Armour (also market rate), and there is already not enough off-street parking.  Although a nursing home and a group home for people with developmental disabilities have been returned to large single family homes in the last several years, there are still houses and buildings that serve as transitional housing for people in substance abuse recovery, families experiencing homelessness, and people with mental health concerns.  There are 3 liberal mainline Protestant Churches, two of which provide office space for worker's rights nonprofit organizations, and all three provide services to low income people in the community and also welcome people who identify as LGBT.  Al-Inshirah Islamic Center is in this community.  Kansas City Public Schools are improving, but that's not well known, and charter and private schools still draw students away from KCPS.  Academie Lafayette French Immersion Charter School and Notre Dame de Sion Lower School are in the community.  The Nelson Atkins Museum of Art is in the generally affluent Rockhill neighborhood.  Houses in North and South Hyde Park and Southmoreland seem to be increasingly owner-occupied and more families with young children seem to be living in the neighborhoods.  Although housing prices are going up, homes in the area are still significantly less expensive than parts of Kansas City to the southwest.  60% of housing is renter-occupied.   2% of resdients have identified as Asian, 3% as more than one race, 8% as Hispanic, 30% as black, and 57% as white. Median income is  about $50,000.  Residents generally support expanding access to health care and the rights of workers, women, people with disabilities, and members of ethnic and racial minority groups.  LGBT homeowners and immigrants have been welcome in the community for decades. The community is located on the historically white side of the (artificially created) dividing line between black and white Kansas City--Troost Avenue, but the divide is being broken down.  ","This community has mostly older houses (100+ years). ""Urban pioneers"" moved to Central Hyde Park (Armour to 39th) in the '70s and rehabbed houses, returning houses that had been divided into apartments after WWII back into single family homes.  The neighborhood association became hyper vigilant about ""density,"" but there have always been apartments and duplexes throughout Hyde Park, mostly in North and South Hyde Park. In the last decade or so more houses in N and S Hyde Park seem to have become owner-occupied, and more have small children.  Historically, real estate agents steered home buyers away, citing Public School challenges and bias against ""Midtown,"" code for black and lower income people in the neighborhoods or nearby.  Housing prices are increasing.  Armour Blvd had many 100% Section 8 apartment buildings in the '80s, now all but 2 are market rate, as Mac Properties has invested heavily. A new large apartment building is about to open on Armour Blvd. and three more apartment buildings are being built on Armour Blvd and Troost. All of these are market rate rentals, and there's already a parking shortage for existing Armour Blvd. apartment dwellers).  Crime at Armour and Troost, and west to Gillham, has been problematic but seems to be improving in recent years. The neighborhoods have been welcoming to LGBT people for decades and homeowning neighbors have taken pride in being a diverse community that welcomes people of color and immigrants. Residents are generally politically liberal, in terms of supporting health care and the rights of workers, women, racial minorities.  Rockhill north of 47th was put in this community due to census tracts;  it's a generally affluent neighborhood in which the Nelson Atkins Museum of Art is located.  Part of Southmoreland is also in this community;  also old homes, many rehabbed in recent years. ",Hyde Park and parts of Rockhill and Southmoreland North of 47th and east of Oak,1.0,Jackson,"Hyde Park , plus Rockhill and Southmoreland neighborhoods north of   47th and east of in order to include the census tract in which the southernmost part of is located , is a diverse community of older ( 100 + years ) houses with some duplexes and apartments ( many in tall buildings on Armour Blvd and some in smaller apt . buildings in north and south Hyde Park and ) .   Many of the apt . buildings on Armour Blvd were 100 % Section 8 until Mac Properties started turning them into market rate apartments probably less than 10 years ago , and only two 100 % Section 8 buildings remain .   Mac is building 3 new apt . buildings on Armour ( also market rate ) , and there is already not enough off - street parking .   Although a nursing home and a group home for people with developmental disabilities have been returned to large single family homes in the last several years , there are still houses and buildings that serve as transitional housing for people in substance abuse recovery , families experiencing homelessness , and people with mental health concerns .   There are 3 liberal mainline Protestant Churches , two of which provide office space for worker 's rights nonprofit organizations , and all three provide services to low income people in the community and also welcome people who identify as LGBT .   Al - Inshirah Islamic Center is in this community .   Kansas City Public Schools are improving , but that 's not well known , and charter and private schools still draw students away from KCPS .   Academie Lafayette French Immersion Charter School and Notre Dame de Sion Lower School are in the community .   The Nelson Atkins Museum of Art is in the generally affluent Rockhill neighborhood .   Houses in and seem to be increasingly owner - occupied and more families with young children seem to be living in the neighborhoods .   Although housing prices are going up , homes in the area are still significantly less expensive than parts of to the southwest .   60 % of housing is renter - occupied .    2 % of resdients have identified as Asian , 3 % as more than one race , 8 % as Hispanic , 30 % as black , and 57 % as white . Median income is   about $ 50,000 .   Residents generally support expanding access to health care and the rights of workers , women , people with disabilities , and members of ethnic and racial minority groups .   LGBT homeowners and immigrants have been welcome in the community for decades . The community is located on the historically white side of the ( artificially created ) dividing line between black and white -- Troost Avenue , but the divide is being broken down .  ",Vulnerable populations
24,25,139,https://districtr.org/COI/22878,coi,University City Eruv,An eruv is a symbolic enclosure that surrounds the Jewish community.,An eruv is a symbolic enclosure that surrounds the Jewish community.,University City Eruv,1.0,St. Louis,An eruv is a symbolic enclosure that surrounds the Jewish community .,Religion
25,26,137,https://districtr.org/COI/22939,coi,Columbia-Old SW,"This is a community of families who care about their neighborhood (several neighborhood associations), education and schools, hospitals and health care. The community is involved in government at the local, state, and federal levels and votes at a high rate.","This is a community of families who care about their neighborhood (several neighborhood associations),  education and schools, hospitals and health care. The community is involved in government at the local, state, and federal levels and votes at a high rate.",Columbia-Old SW,1.0,Columbia,"This is a community of families who care about their neighborhood ( several neighborhood associations ) , education and schools , hospitals and health care . The community is involved in government at the local , state , and federal levels and votes at a high rate .",Community engagement
26,27,136,https://districtr.org/COI/22940,coi,Blue Springs Lees Summit Indep KC crssrd,An area in the Kansas City Metro where four cities meet around main highway and shopping. A mix of middle income homeowners and renters. There is a higher percentage of hispanic voters than Missouri overall.,An area in the Kansas City Metro where four cities meet around main highway and shopping. A mix of middle income homeowners and renters. There is a higher percentage of hispanic voters than Missouri overall.,"Blue Springs, Lees Summit, Indep, KC crossroad",1.0,Independence,An area in the Metro where four cities meet around main highway and shopping . A mix of middle income homeowners and renters . There is a higher percentage of hispanic voters than overall .,Cities
27,28,135,https://districtr.org/COI/23356,coi,Westside North KC,"The North End of the historic Westside neighborhood in KCMO. Common interests include concerns around safety, homelessness, and neighborhood preservation. Of the entire Westside, this area has experienced the most gentrification, bringing some unique issues to the table. Short term rentals, preserving the neighborhood environment, rising taxes, etc. Tends to skew higher income than the rest of the Westside with higher population of white Americans as well.",The North End of the historic Westside neighborhood in KCMO,Westside North,1.0,Kansas City,"The North End of the historic Westside neighborhood in KCMO . Common interests include concerns around safety , homelessness , and neighborhood preservation . Of the entire Westside , this area has experienced the most gentrification , bringing some unique issues to the table . Short term rentals , preserving the neighborhood environment , rising taxes , etc . Tends to skew higher income than the rest of the Westside with higher population of white Americans as well .",Vulnerable populations
28,29,133,https://districtr.org/COI/23652,coi,Greater Sullivan Area,"This is the area of the city of Sullivan and the surrounding areas that are centered around Sullivan High School. The high school services 3 k-8 schools in the area. People in this area also often interact with organizations and businesses in the city of Sullivan. This creates common interests in terms of education policy, city infrastructure, and economic development. The area is primarily composed of long term farmers and property owners, and also commuters to the city of St. Louis. ","This is the area of the city of Sullivan and the surrounding areas that are centered around Sullivan High School. The high school services 3 k-8 schools in the area. People in this area also often interact with organizations and businesses in the city of Sullivan. This creates common interests in terms of education policy, city infrastructure, and economic development. The area is primarily composed of long term farmers and property owners, and also commuters to the city of St. Louis. ",Greater Sullivan Area,1.0,Sullivan,"This is the area of the city of Sullivan and the surrounding areas that are centered around Sullivan High School . The high school services 3 k-8 schools in the area . People in this area also often interact with organizations and businesses in the city of Sullivan . This creates common interests in terms of education policy , city infrastructure , and economic development . The area is primarily composed of long term farmers and property owners , and also commuters to the city of .",Community engagement
29,30,132,https://districtr.org/COI/23906,coi,St Louis Region - Race & Ethnicity,"St Louis Region - Race, Ethnicity & School Districts","Multi Ethnic
",St Louis,1.0,St Louis,", Ethnicity & School Districts",Diversity
30,31,131,https://districtr.org/COI/24118,coi,"Rural Franklin, Jefferson, Washington Co","Rural section of SE Franklin County, SW Jefferson County, & N Washington County. Mostly farms & owner-occupied single family homes. Mostly white Voting Age Population. Median income $40-45k. ","Rural section of SE Franklin County, SW Jefferson County, & N Washington County. Mostly farms & owner-occupied single family homes. Mostly white Voting Age Population. Median income $40-45k. ","Rural Franklin, Jefferson, Washington Counties",1.0,Lonedell,"Rural section of SE , SW , & N . Mostly farms & owner - occupied single family homes . Mostly white Voting Age Population . Median income $ 40 - 45k .",Named neighborhood
31,32,38,https://districtr.org/COI/24216,coi,Kribs Southmoreland Community Highlights,"We are a family with 2 young kids, so we marked the places that we frequent or that affect us most significantly.","A community with a diverse array of housing types (rental apartments, condos, single family houses, large historic houses), green spaces, artistic centers, and some businesses. The population seems to range from unhoused, struggling young people to wealthy professionals, with every category in between.",Southmoreland,1.0,Kansas City,"We are a family with 2 young kids , so we marked the places that we frequent or that affect us most significantly .",Family and Children
32,33,130,https://districtr.org/COI/24693,coi,Southwest Kansas City,"This map includes an area of 33,590 residents who mostly share community interests. I believe the wealthiest and least wealthy people on the map would have a community issue to discuss if they struck up a conversation in the grocery store.","This community of 33.590, which includes a mix of retirees, families with children and young professionals, prides itself on home ownership and beautification and strong public involvement. While rental properties are concentrated in the southern tracts, my canvassing makes it clear that the renters share community interests. They include close attention  to state and local issues, as evidenced by strong turnouts at town hall and community meetings hosted by elected officials and community leaders. Infrastructure is a major issue because broken sidewalks or no sidewalks proliferate, and potholes appear regularly on the streets. There is intense interest in public, charter and private education and close attention to the Kansas City Public School District, even from neighbors who don't have children there. A committed group of parents worked hard for the reopening of a public K-5 school a few years ago and it has been a huge success. There is strong advocacy for good public transit and strong support for the extension of the downtown trolley line, which will now extend to the University of Missouri-Kansas City. Many educators and graduates of this this four-year school live in the community. The Trolley Trail, which runs the length of the map, is popular among runners, joggers, walkers, bicyclists and dog walkers. Faith is important as houses of worship of several religions and denominations are represented.  Residents would like the state Legislature to be more considerate of urban problems, such as gun violence, health care, lack of affordable housing and the need for local control of the Kansas City Police Department.  ",Southwest Kansas City,1.0,"Kansas City, MO","This map includes an area of 33,590 residents who mostly share community interests . I believe the wealthiest and least wealthy people on the map would have a community issue to discuss if they struck up a conversation in the grocery store .",Community engagement
33,34,57,https://districtr.org/COI/24822,coi,Roanoke Neighborhood,"Historic neighborhood 77% white professional (lawyers, MD, architects), family-oriented Approx 100 homes, single family (per covenant) Long term residents (30+ years) Socially and politically active, community-oriented, strong neighborhood traditions with numerous annual events","Historic neighborhood
77% white professional (lawyers, MD, architects), family-oriented
Approx 100 homes, single family (per covenant)
Long term residents (30+ years)
Socially and politically active, community-oriented, strong neighborhood traditions with numerous annual events",Roanoke Neighborhood,1.0,Kansas City,"Historic neighborhood 77 % white professional ( lawyers , , architects ) , family - oriented 100 homes , single family ( per covenant ) Long term residents ( 30 + years ) Socially and politically active , community - oriented , strong neighborhood traditions with numerous annual events",Community engagement
34,35,58,https://districtr.org/COI/24823,coi,Coleman-Highlands,"Established neighborhood with mixed age housing Majority white and hispanic families More than 90% owner-occupied homes Long term residents  Socially and politically active, community-oriented, strong neighborhood traditions ","Established neighborhood with mixed age housing
Majority white and hispanic families
More than 90% owner-occupied homes
Long term residents 
Socially and politically active, community-oriented, strong neighborhood traditions ",Coleman-Highlands,1.0,Kansas City,"Established neighborhood with mixed age housing Majority white and hispanic families More than 90 % owner - occupied homes Long term residents   Socially and politically active , community - oriented , strong neighborhood traditions",Community engagement
35,36,59,https://districtr.org/COI/24824,coi,Valentine Neighborhood,"Established neighborhood with some historic homes and some newly re-purposed (ie Norman School is now apts) Majority white (67%), some black (17%) and hispanic (11%) families More than 80% rental properties Socially and politically active, community-oriented, strong neighborhood traditions ","Established neighborhood with some historic homes and some newly re-purposed (ie Norman School is now apts)
Majority white (67%), some black (17%) and hispanic (11%) families
More than 80% rental properties
Socially and politically active, community-oriented, strong neighborhood traditions ",Valentine Neighborhood,1.0,Kansas City,"Established neighborhood with some historic homes and some newly re - purposed ( ie Norman School is now apts ) Majority white ( 67 % ) , some black ( 17 % ) and hispanic ( 11 % ) families More than 80 % rental properties Socially and politically active , community - oriented , strong neighborhood traditions",Community engagement
36,37,65,https://districtr.org/COI/24982,coi,schools sports work and travel,This more real of the communties that are in work travel shopping and school sports. ,common sports regions for schools as well as work travel and shopping,everyday places,1.0,Houstonia,This more real of the communties that are in work travel shopping and school sports .,Community engagement
37,38,129,https://districtr.org/COI/24986,coi,Old Main Street St. Charles,"Businesses here, some live & work in the same space.  Tourist dollars very important to this area but also all the activities wear on residents.  Older homes many historic in nature. ","Businesses here, some live & work in the same space.  Tourist dollars very important to this area but also all the activities wear on residents.  Older homes many historic in nature.  ",Old Main Street St. Charles,1.0,FORISTELL,"Businesses here , some live & work in the same space .   Tourist dollars very important to this area but also all the activities wear on residents .   Older homes many historic in nature .",Economy and Commerce
38,40,128,https://districtr.org/COI/25408,coi,Greater South County Area,"This map includes the 116,000 residents of the Greater South County area who share a lot of commonalities. They share neighboring school districts which gives them a shared interest in the education of their children. The majority of the residents are working middle class homeowners which gives them the same sort of economic issues to deal with. They also share the experience of being close to both the St Louis metro area and a variety of rich Missouri natural areas which lends a unique experience of a snapshot of everything Missouri has to offer.","This map includes the 116,000 residents of the Greater South County area who share a lot of commonalities. They share neighboring school districts which gives them a shared interest in the education of their children. The majority of the residents are working middle class homeowners which gives them the same sort of economic issues to deal with. They also share the experience of being close to both the St Louis metro area and a variety of rich Missouri natural areas which lends a unique experience of a snapshot of everything Missouri has to offer. ",Greater South County Area,1.0,Affton,"This map includes the 116,000 residents of area who share a lot of commonalities . They share neighboring school districts which gives them a shared interest in the education of their children . The majority of the residents are working middle class homeowners which gives them the same sort of economic issues to deal with . They also share the experience of being close to both the metro area and a variety of rich natural areas which lends a unique experience of a snapshot of everything has to offer .",Community engagement
39,41,103,https://districtr.org/COI/25506,coi,Northland KC BurlingtonCreek,Northland KC  - west of I-29 along the 64th street corridor ,Middle class families; majority Caucasian; work outside their home base; conservative. concerned about schools; infrastructure; lots of new housing being built for the increase in population that is occurring. Lots of new younger folks/families moving into the area.  The convening place is church; kids sports. ,KC North - Northwest Prairie View Dr/Burlington Creek,1.0,KC Platte County ,Northland KC   - west of I-29 along the 64th street corridor,Named neighborhood
40,43,113,https://districtr.org/COI/25651,coi,West Central Springfield,"a local brewery, restaurants, bars; high number of rentals due to downtown area and proximity to Missouri State University; McGregor Elementary; Campbell Early Childhood Center; a large number of vacant and nuisance properties; lack of available affordable housing; West Central Neighborhood Association; poverty an issue","Downtown Springfield; Lots of local shops, a local brewery, restaurants, bars; high number of rentals due to downtown area and proximity to Missouri State University; McGregor Elementary; Campbell Early Childhood Center; a large number of vacant and nuisance properties; lack of available affordable housing; West Central Neighborhood Association; poverty an issue",West Central Springfield,1.0,Springfield,"a local brewery , restaurants , bars ; high number of rentals due to downtown area and proximity to Missouri State University ; McGregor Elementary ; Campbell Early Childhood Center ; a large number of vacant and nuisance properties ; lack of available affordable housing ; West Central Neighborhood Association ; poverty an issue",Family and Children
41,44,164,https://districtr.org/COI/25986,coi,City of Hazelwood,"Currently served by three different fire departments, in discussions about how to proceed in future","Currently served by three different fire districts, in discussions about whether this continues in future",City of Hazelwood,1.0,,"Currently served by three different fire departments , in discussions about how to proceed in future",Community engagement
42,45,167,https://districtr.org/COI/26069,coi,"Springfield, Mo College Community","This is the area of Springfield, MO that houses the three largest college campuses. There is housing and shopping all directed towards college students here. ","This is the area the represents the college campuses in Springfield, MO. This area has large apartment complexes, shops, and stores directed at college students. ",College Community,1.0,Springfield,"This is the area of , that houses the three largest college campuses . There is housing and shopping all directed towards college students here .",Named neighborhood
43,46,168,https://districtr.org/COI/26074,coi,"Medical Mile - Springfield, MO",This area is referred to as the Medical Mile in Springfield. This stretch of community is where the two largest hospitals and their smaller clinics also reside providing patients access to all aspects of medical care. ,This area is referred to as the Medical Mile in Springfield. This stretch of community is where the two largest hospitals and their smaller clinics also reside providing patients access to all aspects of medical care. ,Medical Mile,1.0,,This area is referred to as the Medical Mile in . This stretch of community is where the two largest hospitals and their smaller clinics also reside providing patients access to all aspects of medical care .,Community engagement
44,47,190,https://districtr.org/COI/26144,coi,South Center City Springfield,"This community contains Missouri State University campus to the North and Mercy Hospital to the east.  The community consists of middle to lower middle class single home dwellings, senior citizens to young families, student housing and apartment complexes.  Common concerns consist of student housing, crowded streets, narrow streets , and traffic problems.","This community contains Missouri State University campus to the North and Mercy Hospital to the east.  The community consists of middle to lower middle class single home dwellings, student housing and apartment complexes.  Common concerns consist of student housing, crowded streets, narrow streets , and traffic problems.",South Center City Springfield,1.0,Springfield,"This community contains Missouri State University campus to the North and Mercy Hospital to the east .   The community consists of middle to lower middle class single home dwellings , senior citizens to young families , student housing and apartment complexes .   Common concerns consist of student housing , crowded streets , narrow streets , and traffic problems .",University
45,48,191,https://districtr.org/COI/26149,coi,Retired and Working Seniors,"Retired community, working seniors, downsizing, affordable rent, access to healthcare, access to public transportation, accessible housing",,Community 1,1.0,Springfield,"Retired community , working seniors , downsizing , affordable rent , access to healthcare , access to public transportation , accessible housing",Elderly
46,49,193,https://districtr.org/COI/26154,coi,Greater Nixa,"Greater Nixa is anchored by an outstanding public school system, which is the focus of my map.","There's strong support for Nixa's public school district; bond issues as well as tax levies are consistently successful. School system attracts quality teachers, board of education has won several statewide awards for its leadership. Nixa was formerly a sleepy, small town but for last 35 years has grown to a mix of ""hometowners"" and people who work in Springfield, about nine miles to the north. This growth is due to excellent public schools and rapid housing development  In the 1990s Nixa school district was fastest growing school district in Missouri. Today, growth has slowed a bit--but not much. City government has been future oriented: Nixa Public Building Corporation was established about 1990 to issue bonds for a much-needed new City Hall; a fee was created whereby landlords pay for a city inspection each time the tenant changes making sure the rental is safe and meets building codes; Nixa City Council imposed a facial mask requirement during Covid that withstood some public opposition. County government has a history of cooperation with Nixa, one of the two largest cities in the county, especially in the area of economic development. City of Nixa has successfully courted gigabit speed internet for residents and business. The City purchases power from a 72-acre solar farm constructed in 2017. Nixa struggles to attract new business though a newly reenergized Chamber of Commerce is helping. The Nixa region considers itself autonomous in spite of its dependence on Springfield and Greene County for health care, higher education and entertainment. Residents of the Nixa region are proud to be Christian Countians. In spite of progressive accomplishments, residents are solidly conservative in politics and most are likely church-goers who declare as Christians.",Greater Nixa,1.0,Nixa/Christian,"Greater Nixa is anchored by an outstanding public school system , which is the focus of my map .",K-12 Education
47,50,210,https://districtr.org/COI/26536,coi,Southwest Kansas City,"This part of southwest Kansas City includes quiet neighborhoods with ranch-style homes, an increasing number of apartments, shopping areas and Burns&McDonnell global engineering company. Bordered by I-435 on the south, State Line Road on the West, Holmes on the east and 85th Street on the north. It seems to be transitioning from an older population of home-owners to younger and more diverse owners and renters. ","This part of southwest Kansas City includes quiet neighborhoods with ranch-style homes, an increasing number of apartments, shopping areas and Burns&McDonnell global engineering company. Bordered by I-435 on the south, State Line Road on the West, Holmes on the east and 85th Street on the north.
It seems to be transitioning from an older population of home-owners to younger and more diverse owners and renters. ",Southwest Kansas City,1.0,Kansas City,"This part of southwest includes quiet neighborhoods with ranch - style homes , an increasing number of apartments , shopping areas and Burns&McDonnell global engineering company . Bordered by I-435 on the south , State Line Road on the West , Holmes on the east and 85th Street on the north . It seems to be transitioning from an older population of home - owners to younger and more diverse owners and renters .",Diversity
48,51,211,https://districtr.org/COI/26571,coi,Shawnee park ,,People who used and work at St. Francis Medical Center.,St. Francis medical center,1.0,Cape Girardeau,,Unknown
49,52,212,https://districtr.org/COI/26571,coi,st Francis medical center,very influential community,People who used and work at St. Francis Medical Center.,St. Francis medical center,1.0,Cape Girardeau,very influential community,Named neighborhood
